Number,Suit,IP Address,Deck Color
A,Spades,52.7.84.54,Blue
2,Spades,52.7.64.23,Blue
3,Spades,52.7.75.33,Blue
4,Spades,52.7.28.105,Blue
5,Spades,52.7.75.38,Blue
6,Spades,52.7.84.136,Blue
7,Spades,52.7.37.8,Blue
8,Spades,52.7.32.155,Blue
9,Spades,52.5.129.74,Blue
10,Spades,52.6.36.241,Blue
J,Spades,52.5.211.57,Blue
Q,Spades,52.7.126.74,Blue
K,Spades,52.7.55.171,Blue
A,Diamonds,52.7.63.156,Blue
2,Diamonds,52.7.65.196,Blue
3,Diamonds,52.7.70.109,Blue
4,Diamonds,52.7.58.178,Blue
5,Diamonds,52.6.72.127,Blue
6,Diamonds,52.6.165.230,Blue
7,Diamonds,52.7.110.225,Blue
8,Diamonds,52.7.59.67,Blue
9,Diamonds,52.7.73.28,Blue
10,Diamonds,52.7.124.191,Blue
J,Diamonds,52.7.69.188,Blue
Q,Diamonds,52.7.59.3,Blue
K,Diamonds,52.7.86.213,Blue
A,Clubs,52.5.105.173,Blue
2,Clubs,52.4.227.172,Blue
3,Clubs,52.7.122.121,Blue
4,Clubs,52.6.206.78,Blue
5,Clubs,52.7.88.156,Blue
6,Clubs,52.7.90.80,Blue
7,Clubs,52.7.28.205,Blue
8,Clubs,52.5.103.157,Blue
9,Clubs,52.5.216.170,Blue
10,Clubs,52.7.126.91,Blue
J,Clubs,52.7.34.163,Blue
Q,Clubs,52.7.78.173,Blue
K,Clubs,52.7.81.251,Blue
A,Hearts,52.7.75.237,Blue
2,Hearts,52.7.91.166,Blue
3,Hearts,52.7.54.125,Blue
4,Hearts,52.7.60.54,Blue
5,Hearts,52.4.233.200,Blue
6,Hearts,52.1.167.7,Blue
7,Hearts,52.7.44.101,Blue
8,Hearts,52.7.33.111,Blue
9,Hearts,52.6.213.249,Blue
10,Hearts,52.7.52.113,Blue
J,Hearts,52.7.64.65,Blue
Q,Hearts,52.7.52.51,Blue
K,Hearts,52.4.48.140,Blue
A,Spades,52.7.87.38,Red
2,Spades,52.7.42.131,Red
3,Spades,52.0.235.164,Red
4,Spades,52.7.47.224,Red
5,Spades,52.4.160.24,Red
6,Spades,52.7.80.117,Red
7,Spades,52.7.54.144,Red
8,Spades,52.6.203.94,Red
9,Spades,52.7.120.197,Red
10,Spades,52.4.128.244,Red
J,Spades,52.7.50.118,Red
Q,Spades,52.7.78.49,Red
K,Spades,52.7.125.98,Red
A,Diamonds,52.4.128.244,Red
2,Diamonds,52.7.118.99,Red
3,Diamonds,52.7.78.79,Red
4,Diamonds,52.7.112.59,Red
5,Diamonds,52.7.99.191,Red
